# of Men,# of Women,Completeness in Men's Pref.,Completeness in Women's Pref.,Ties in Men's Pref.,Ties in Women's Pref.,Exec. Time of Sex-equal Opt.,Exec. Time of Egalitarian Opt., Exec. Time of Minimum Regret Opt.,Exec. Time of Maximum Cardinality Opt.,Exec. Time without Opt.
20,20,25 %,25 %,0 %,0 %,0.010 sec,0.020 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,0 %,10 %,0.020 sec,0.040 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,25 %,0 %,20 %,0.010 sec,0.020 sec,0.000 sec,0.000 sec,0.010 sec
20,20,25 %,25 %,10 %,10 %,0.010 sec,0.020 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,25 %,10 %,20 %,0.010 sec,0.040 sec,0.010 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,20 %,20 %,0.020 sec,0.030 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,0 %,0 %,0.030 sec,0.110 sec,0.010 sec,0.010 sec,0.000 sec
20,20,25 %,50 %,0 %,10 %,0.050 sec,0.160 sec,0.010 sec,0.020 sec,0.010 sec
20,20,25 %,50 %,0 %,20 %,0.020 sec,0.110 sec,0.010 sec,0.010 sec,0.000 sec
20,20,25 %,50 %,10 %,10 %,0.040 sec,0.080 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,10 %,20 %,0.020 sec,0.100 sec,0.010 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,20 %,20 %,0.050 sec,0.200 sec,0.010 sec,0.010 sec,0.020 sec
20,20,25 %,100 %,0 %,0 %,0.120 sec,0.580 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,0 %,10 %,0.390 sec,0.670 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,0 %,20 %,0.280 sec,0.860 sec,0.020 sec,0.010 sec,0.010 sec
20,20,25 %,100 %,10 %,10 %,0.110 sec,0.430 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,10 %,20 %,0.130 sec,0.570 sec,0.020 sec,0.010 sec,0.020 sec
20,20,25 %,100 %,20 %,20 %,0.140 sec,0.860 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,0 %,0 %,0.120 sec,0.480 sec,0.010 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,0 %,10 %,0.250 sec,1.390 sec,0.020 sec,0.020 sec,0.020 sec
20,20,50 %,50 %,0 %,20 %,0.140 sec,0.550 sec,0.010 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,10 %,10 %,0.100 sec,0.410 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,10 %,20 %,0.300 sec,1.200 sec,0.020 sec,0.010 sec,0.020 sec
20,20,50 %,50 %,20 %,20 %,0.680 sec,1.350 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,100 %,0 %,0 %,5.400 sec,6.810 sec,0.030 sec,0.040 sec,0.030 sec
20,20,50 %,100 %,0 %,10 %,1.490 sec,8.410 sec,0.040 sec,0.040 sec,0.040 sec
20,20,50 %,100 %,0 %,20 %,0.830 sec,8.530 sec,0.030 sec,0.020 sec,0.040 sec
20,20,50 %,100 %,10 %,10 %,2.830 sec,4.190 sec,0.020 sec,0.030 sec,0.040 sec
20,20,50 %,100 %,10 %,20 %,1.560 sec,12.020 sec,0.030 sec,0.030 sec,0.030 sec
20,20,50 %,100 %,20 %,20 %,10.690 sec,13.990 sec,0.040 sec,0.040 sec,0.040 sec
20,20,100 %,100 %,0 %,0 %,1.810 sec,55.060 sec,0.110 sec,0.100 sec,0.110 sec
20,20,100 %,100 %,0 %,10 %,24.950 sec,40.200 sec,0.120 sec,0.100 sec,0.110 sec
20,20,100 %,100 %,0 %,20 %,86.500 sec,54.760 sec,0.130 sec,0.110 sec,0.110 sec
20,20,100 %,100 %,10 %,10 %,23.340 sec,90.570 sec,0.110 sec,0.110 sec,0.110 sec
20,20,100 %,100 %,10 %,20 %,74.040 sec,49.750 sec,0.110 sec,0.110 sec,0.100 sec
20,20,100 %,100 %,20 %,20 %,39.990 sec,76.780 sec,0.110 sec,0.130 sec,0.100 sec
20,40,25 %,25 %,0 %,0 %,0.060 sec,0.220 sec,0.010 sec,0.020 sec,0.010 sec
20,40,25 %,25 %,0 %,10 %,0.070 sec,0.270 sec,0.010 sec,0.000 sec,0.010 sec
20,40,25 %,25 %,0 %,20 %,0.110 sec,0.320 sec,0.000 sec,0.010 sec,0.010 sec
20,40,25 %,25 %,10 %,10 %,0.120 sec,0.380 sec,0.020 sec,0.020 sec,0.010 sec
20,40,25 %,25 %,10 %,20 %,0.120 sec,0.250 sec,0.000 sec,0.000 sec,0.020 sec
20,40,25 %,25 %,20 %,20 %,0.080 sec,0.250 sec,0.010 sec,0.020 sec,0.010 sec
20,40,25 %,50 %,0 %,0 %,0.210 sec,0.760 sec,0.020 sec,0.020 sec,0.010 sec
20,40,25 %,50 %,0 %,10 %,0.450 sec,1.680 sec,0.010 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,0 %,20 %,0.470 sec,1.840 sec,0.020 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,10 %,10 %,0.680 sec,1.500 sec,0.030 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,10 %,20 %,0.390 sec,1.160 sec,0.020 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,20 %,20 %,0.380 sec,1.190 sec,0.010 sec,0.020 sec,0.010 sec
20,40,25 %,100 %,0 %,0 %,5.240 sec,7.510 sec,0.030 sec,0.030 sec,0.030 sec
20,40,25 %,100 %,0 %,10 %,5.050 sec,9.810 sec,0.030 sec,0.030 sec,0.040 sec
20,40,25 %,100 %,0 %,20 %,2.850 sec,10.350 sec,0.030 sec,0.040 sec,0.040 sec
20,40,25 %,100 %,10 %,10 %,1.790 sec,9.190 sec,0.030 sec,0.040 sec,0.040 sec
20,40,25 %,100 %,10 %,20 %,3.360 sec,8.330 sec,0.020 sec,0.020 sec,0.030 sec
20,40,25 %,100 %,20 %,20 %,4.440 sec,11.870 sec,0.030 sec,0.040 sec,0.030 sec
20,40,50 %,50 %,0 %,0 %,3.380 sec,6.580 sec,0.030 sec,0.030 sec,0.030 sec
20,40,50 %,50 %,0 %,10 %,4.920 sec,24.850 sec,0.030 sec,0.030 sec,0.030 sec
20,40,50 %,50 %,0 %,20 %,2.240 sec,11.770 sec,0.030 sec,0.030 sec,0.030 sec
20,40,50 %,50 %,10 %,10 %,9.750 sec,13.370 sec,0.040 sec,0.040 sec,0.040 sec
20,40,50 %,50 %,10 %,20 %,7.340 sec,9.810 sec,0.040 sec,0.020 sec,0.020 sec
20,40,50 %,50 %,20 %,20 %,3.680 sec,9.950 sec,0.030 sec,0.020 sec,0.020 sec
20,40,50 %,100 %,0 %,0 %,34.400 sec,64.610 sec,0.080 sec,0.090 sec,0.080 sec
20,40,50 %,100 %,0 %,10 %,182.160 sec,121.280 sec,0.100 sec,0.110 sec,0.100 sec
20,40,50 %,100 %,0 %,20 %,82.480 sec,105.350 sec,0.100 sec,0.100 sec,0.090 sec
20,40,50 %,100 %,10 %,10 %,71.480 sec,117.440 sec,0.090 sec,0.090 sec,0.080 sec
20,40,50 %,100 %,10 %,20 %,37.200 sec,58.170 sec,0.090 sec,0.100 sec,0.080 sec
20,40,50 %,100 %,20 %,20 %,50.720 sec,62.590 sec,0.090 sec,0.080 sec,0.080 sec
20,40,100 %,100 %,0 %,0 %,Timeout,521.700 sec,0.430 sec,0.440 sec,0.410 sec
20,40,100 %,100 %,0 %,10 %,Timeout,542.960 sec,0.430 sec,0.430 sec,0.400 sec
20,40,100 %,100 %,0 %,20 %,Timeout,649.480 sec,0.410 sec,0.440 sec,0.410 sec
20,40,100 %,100 %,10 %,10 %,Timeout,666.640 sec,0.420 sec,0.440 sec,0.430 sec
20,40,100 %,100 %,10 %,20 %,Timeout,692.770 sec,0.420 sec,0.410 sec,0.420 sec
20,40,100 %,100 %,20 %,20 %,765.710 sec,511.670 sec,0.420 sec,0.440 sec,0.400 sec
20,60,25 %,25 %,0 %,0 %,0.290 sec,0.720 sec,0.020 sec,0.020 sec,0.020 sec
20,60,25 %,25 %,0 %,10 %,0.160 sec,0.430 sec,0.020 sec,0.020 sec,0.010 sec
20,60,25 %,25 %,0 %,20 %,0.180 sec,0.460 sec,0.020 sec,0.020 sec,0.010 sec
20,60,25 %,25 %,10 %,10 %,0.440 sec,1.380 sec,0.020 sec,0.000 sec,0.020 sec
20,60,25 %,25 %,10 %,20 %,0.280 sec,0.660 sec,0.020 sec,0.020 sec,0.010 sec
20,60,25 %,25 %,20 %,20 %,0.510 sec,1.170 sec,0.030 sec,0.020 sec,0.010 sec
20,60,25 %,50 %,0 %,0 %,2.220 sec,6.960 sec,0.030 sec,0.040 sec,0.020 sec
20,60,25 %,50 %,0 %,10 %,1.460 sec,3.530 sec,0.020 sec,0.020 sec,0.030 sec
20,60,25 %,50 %,0 %,20 %,1.720 sec,3.270 sec,0.020 sec,0.030 sec,0.020 sec
20,60,25 %,50 %,10 %,10 %,4.290 sec,7.480 sec,0.030 sec,0.030 sec,0.030 sec
20,60,25 %,50 %,10 %,20 %,2.980 sec,7.740 sec,0.030 sec,0.030 sec,0.020 sec
20,60,25 %,50 %,20 %,20 %,2.510 sec,8.940 sec,0.030 sec,0.030 sec,0.020 sec
20,60,25 %,100 %,0 %,0 %,56.090 sec,73.580 sec,0.060 sec,0.070 sec,0.060 sec
20,60,25 %,100 %,0 %,10 %,14.710 sec,33.540 sec,0.050 sec,0.050 sec,0.050 sec
20,60,25 %,100 %,0 %,20 %,15.770 sec,46.180 sec,0.050 sec,0.050 sec,0.050 sec
20,60,25 %,100 %,10 %,10 %,18.230 sec,59.710 sec,0.060 sec,0.070 sec,0.060 sec
20,60,25 %,100 %,10 %,20 %,16.540 sec,51.590 sec,0.060 sec,0.060 sec,0.060 sec
20,60,25 %,100 %,20 %,20 %,61.260 sec,63.140 sec,0.060 sec,0.070 sec,0.070 sec
20,60,50 %,50 %,0 %,0 %,22.670 sec,42.720 sec,0.050 sec,0.070 sec,0.050 sec
20,60,50 %,50 %,0 %,10 %,30.900 sec,47.730 sec,0.050 sec,0.050 sec,0.040 sec
20,60,50 %,50 %,0 %,20 %,14.880 sec,41.770 sec,0.040 sec,0.050 sec,0.050 sec
20,60,50 %,50 %,10 %,10 %,51.160 sec,56.230 sec,0.060 sec,0.050 sec,0.050 sec
20,60,50 %,50 %,10 %,20 %,20.800 sec,61.090 sec,0.060 sec,0.060 sec,0.060 sec
20,60,50 %,50 %,20 %,20 %,51.640 sec,60.380 sec,0.060 sec,0.060 sec,0.060 sec
20,60,50 %,100 %,0 %,0 %,203.180 sec,496.800 sec,0.180 sec,0.190 sec,0.170 sec
20,60,50 %,100 %,0 %,10 %,292.660 sec,363.880 sec,0.170 sec,0.170 sec,0.150 sec
20,60,50 %,100 %,0 %,20 %,471.630 sec,399.930 sec,0.170 sec,0.170 sec,0.170 sec
20,60,50 %,100 %,10 %,10 %,263.520 sec,472.390 sec,0.180 sec,0.190 sec,0.170 sec
20,60,50 %,100 %,10 %,20 %,288.660 sec,499.190 sec,0.180 sec,0.180 sec,0.160 sec
20,60,50 %,100 %,20 %,20 %,298.410 sec,594.290 sec,0.190 sec,0.180 sec,0.180 sec
20,60,100 %,100 %,0 %,0 %,595.240 sec,Timeout,1.020 sec,1.040 sec,1.040 sec
20,60,100 %,100 %,0 %,10 %,Timeout,Timeout,1.020 sec,1.020 sec,1.060 sec
20,60,100 %,100 %,0 %,20 %,Timeout,Timeout,1.040 sec,1.000 sec,0.960 sec
20,60,100 %,100 %,10 %,10 %,Timeout,Timeout,1.030 sec,1.010 sec,0.980 sec
20,60,100 %,100 %,10 %,20 %,Timeout,Timeout,1.040 sec,1.030 sec,1.020 sec
20,60,100 %,100 %,20 %,20 %,Timeout,Timeout,1.040 sec,1.020 sec,0.980 sec
40,40,25 %,25 %,0 %,0 %,0.340 sec,1.700 sec,0.020 sec,0.020 sec,0.020 sec
40,40,25 %,25 %,0 %,10 %,0.430 sec,1.860 sec,0.020 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,0 %,20 %,0.220 sec,1.340 sec,0.020 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,10 %,10 %,0.520 sec,4.510 sec,0.020 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,10 %,20 %,0.410 sec,2.470 sec,0.030 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,20 %,20 %,0.430 sec,3.090 sec,0.010 sec,0.020 sec,0.020 sec
40,40,25 %,50 %,0 %,0 %,3.410 sec,13.930 sec,0.040 sec,0.030 sec,0.040 sec
40,40,25 %,50 %,0 %,10 %,2.350 sec,18.440 sec,0.020 sec,0.040 sec,0.040 sec
40,40,25 %,50 %,0 %,20 %,1.150 sec,9.660 sec,0.030 sec,0.030 sec,0.030 sec
40,40,25 %,50 %,10 %,10 %,2.870 sec,20.580 sec,0.040 sec,0.040 sec,0.040 sec
40,40,25 %,50 %,10 %,20 %,2.950 sec,14.130 sec,0.030 sec,0.040 sec,0.040 sec
40,40,25 %,50 %,20 %,20 %,3.040 sec,17.130 sec,0.030 sec,0.030 sec,0.040 sec
40,40,25 %,100 %,0 %,0 %,22.650 sec,135.280 sec,0.110 sec,0.110 sec,0.100 sec
40,40,25 %,100 %,0 %,10 %,38.110 sec,141.820 sec,0.100 sec,0.110 sec,0.100 sec
40,40,25 %,100 %,0 %,20 %,21.760 sec,223.070 sec,0.100 sec,0.100 sec,0.100 sec
40,40,25 %,100 %,10 %,10 %,82.690 sec,136.010 sec,0.100 sec,0.110 sec,0.100 sec
40,40,25 %,100 %,10 %,20 %,24.740 sec,156.260 sec,0.100 sec,0.100 sec,0.100 sec
40,40,25 %,100 %,20 %,20 %,25.790 sec,161.820 sec,0.110 sec,0.120 sec,0.100 sec
40,40,50 %,50 %,0 %,0 %,298.790 sec,179.740 sec,0.080 sec,0.080 sec,0.080 sec
40,40,50 %,50 %,0 %,10 %,25.100 sec,126.820 sec,0.070 sec,0.080 sec,0.080 sec
40,40,50 %,50 %,0 %,20 %,75.920 sec,122.350 sec,0.070 sec,0.080 sec,0.080 sec
40,40,50 %,50 %,10 %,10 %,183.480 sec,171.390 sec,0.070 sec,0.080 sec,0.080 sec
40,40,50 %,50 %,10 %,20 %,19.100 sec,139.780 sec,0.070 sec,0.080 sec,0.070 sec
40,40,50 %,50 %,20 %,20 %,109.480 sec,178.260 sec,0.080 sec,0.070 sec,0.070 sec
40,40,50 %,100 %,0 %,0 %,577.600 sec,Timeout,0.340 sec,0.330 sec,0.310 sec
40,40,50 %,100 %,0 %,10 %,Timeout,Timeout,0.330 sec,0.350 sec,0.310 sec
40,40,50 %,100 %,0 %,20 %,Timeout,Timeout,0.360 sec,0.350 sec,0.320 sec
40,40,50 %,100 %,10 %,10 %,Timeout,Timeout,0.320 sec,0.310 sec,0.310 sec
40,40,50 %,100 %,10 %,20 %,Timeout,Timeout,0.330 sec,0.330 sec,0.330 sec
40,40,50 %,100 %,20 %,20 %,Timeout,Timeout,0.300 sec,0.310 sec,0.280 sec
40,40,100 %,100 %,0 %,0 %,Timeout,Timeout,2.000 sec,1.980 sec,2.280 sec
40,40,100 %,100 %,0 %,10 %,Timeout,Timeout,2.050 sec,2.150 sec,1.940 sec
40,40,100 %,100 %,0 %,20 %,Timeout,Timeout,2.100 sec,2.050 sec,1.910 sec
40,40,100 %,100 %,10 %,10 %,Timeout,Timeout,2.020 sec,1.990 sec,1.830 sec
40,40,100 %,100 %,10 %,20 %,Timeout,Timeout,2.090 sec,1.890 sec,1.870 sec
40,40,100 %,100 %,20 %,20 %,Timeout,Timeout,2.010 sec,1.850 sec,1.900 sec
40,60,25 %,25 %,0 %,0 %,1.420 sec,8.630 sec,0.020 sec,0.020 sec,0.020 sec
40,60,25 %,25 %,0 %,10 %,1.090 sec,6.980 sec,0.030 sec,0.020 sec,0.030 sec
40,60,25 %,25 %,0 %,20 %,1.100 sec,6.100 sec,0.030 sec,0.020 sec,0.030 sec
40,60,25 %,25 %,10 %,10 %,2.590 sec,14.850 sec,0.030 sec,0.030 sec,0.040 sec
40,60,25 %,25 %,10 %,20 %,1.350 sec,7.040 sec,0.040 sec,0.020 sec,0.020 sec
40,60,25 %,25 %,20 %,20 %,4.430 sec,7.670 sec,0.020 sec,0.030 sec,0.020 sec
40,60,25 %,50 %,0 %,0 %,19.210 sec,83.650 sec,0.060 sec,0.060 sec,0.050 sec
40,60,25 %,50 %,0 %,10 %,10.240 sec,96.160 sec,0.060 sec,0.060 sec,0.060 sec
40,60,25 %,50 %,0 %,20 %,21.010 sec,65.590 sec,0.060 sec,0.060 sec,0.060 sec
40,60,25 %,50 %,10 %,10 %,25.600 sec,122.110 sec,0.060 sec,0.070 sec,0.060 sec
40,60,25 %,50 %,10 %,20 %,39.230 sec,62.420 sec,0.040 sec,0.060 sec,0.050 sec
40,60,25 %,50 %,20 %,20 %,57.980 sec,170.230 sec,0.040 sec,0.050 sec,0.040 sec
40,60,25 %,100 %,0 %,0 %,112.930 sec,Timeout,0.170 sec,0.180 sec,0.170 sec
40,60,25 %,100 %,0 %,10 %,122.260 sec,897.380 sec,0.200 sec,0.200 sec,0.170 sec
40,60,25 %,100 %,0 %,20 %,Timeout,645.200 sec,0.170 sec,0.170 sec,0.180 sec
40,60,25 %,100 %,10 %,10 %,600.820 sec,Timeout,0.250 sec,0.230 sec,0.190 sec
40,60,25 %,100 %,10 %,20 %,104.260 sec,710.060 sec,0.170 sec,0.180 sec,0.190 sec
40,60,25 %,100 %,20 %,20 %,145.880 sec,838.810 sec,0.180 sec,0.180 sec,0.150 sec
40,60,50 %,50 %,0 %,0 %,284.930 sec,883.590 sec,0.140 sec,0.150 sec,0.140 sec
40,60,50 %,50 %,0 %,10 %,99.310 sec,971.010 sec,0.180 sec,0.190 sec,0.130 sec
40,60,50 %,50 %,0 %,20 %,128.940 sec,701.280 sec,0.180 sec,0.190 sec,0.180 sec
40,60,50 %,50 %,10 %,10 %,224.140 sec,843.370 sec,0.180 sec,0.180 sec,0.180 sec
40,60,50 %,50 %,10 %,20 %,119.370 sec,796.930 sec,0.190 sec,0.200 sec,0.160 sec
40,60,50 %,50 %,20 %,20 %,246.620 sec,828.000 sec,0.200 sec,0.200 sec,0.180 sec
40,60,50 %,100 %,0 %,0 %,Timeout,Timeout,0.850 sec,0.840 sec,0.930 sec
40,60,50 %,100 %,0 %,10 %,Timeout,Timeout,1.060 sec,1.100 sec,0.800 sec
40,60,50 %,100 %,0 %,20 %,Timeout,Timeout,0.940 sec,0.960 sec,1.000 sec
40,60,50 %,100 %,10 %,10 %,Timeout,Timeout,0.950 sec,0.980 sec,0.880 sec
40,60,50 %,100 %,10 %,20 %,Timeout,Timeout,0.960 sec,0.950 sec,0.900 sec
40,60,50 %,100 %,20 %,20 %,Timeout,Timeout,0.910 sec,0.940 sec,0.790 sec
40,60,100 %,100 %,0 %,0 %,Timeout,Timeout,6.810 sec,7.050 sec,6.280 sec
40,60,100 %,100 %,0 %,10 %,Timeout,Timeout,6.160 sec,6.900 sec,6.620 sec
40,60,100 %,100 %,0 %,20 %,Timeout,Timeout,6.170 sec,6.690 sec,5.820 sec
40,60,100 %,100 %,10 %,10 %,Timeout,Timeout,6.300 sec,6.790 sec,5.900 sec
40,60,100 %,100 %,10 %,20 %,Timeout,Timeout,6.010 sec,6.360 sec,5.920 sec
40,60,100 %,100 %,20 %,20 %,Timeout,Timeout,5.730 sec,6.250 sec,5.520 sec
60,60,25 %,25 %,0 %,0 %,7.350 sec,52.870 sec,0.040 sec,0.050 sec,0.040 sec
60,60,25 %,25 %,0 %,10 %,4.890 sec,29.850 sec,0.040 sec,0.040 sec,0.030 sec
60,60,25 %,25 %,0 %,20 %,6.060 sec,46.240 sec,0.040 sec,0.060 sec,0.040 sec
60,60,25 %,25 %,10 %,10 %,17.630 sec,100.250 sec,0.060 sec,0.070 sec,0.050 sec
60,60,25 %,25 %,10 %,20 %,6.010 sec,47.360 sec,0.040 sec,0.050 sec,0.040 sec
60,60,25 %,25 %,20 %,20 %,6.020 sec,50.580 sec,0.040 sec,0.050 sec,0.050 sec
60,60,25 %,50 %,0 %,0 %,77.710 sec,617.960 sec,0.140 sec,0.150 sec,0.140 sec
60,60,25 %,50 %,0 %,10 %,139.720 sec,458.090 sec,0.130 sec,0.140 sec,0.100 sec
60,60,25 %,50 %,0 %,20 %,72.750 sec,495.460 sec,0.130 sec,0.140 sec,0.130 sec
60,60,25 %,50 %,10 %,10 %,106.440 sec,624.380 sec,0.170 sec,0.160 sec,0.130 sec
60,60,25 %,50 %,10 %,20 %,83.000 sec,Timeout,0.150 sec,0.150 sec,0.140 sec
60,60,25 %,50 %,20 %,20 %,121.100 sec,455.730 sec,0.130 sec,0.130 sec,0.120 sec
60,60,25 %,100 %,0 %,0 %,762.250 sec,Timeout,0.590 sec,0.660 sec,0.530 sec
60,60,25 %,100 %,0 %,10 %,684.740 sec,Timeout,0.550 sec,0.580 sec,0.490 sec
60,60,25 %,100 %,0 %,20 %,Timeout,Timeout,0.580 sec,0.620 sec,0.560 sec
60,60,25 %,100 %,10 %,10 %,946.430 sec,Timeout,0.660 sec,0.690 sec,0.620 sec
60,60,25 %,100 %,10 %,20 %,Timeout,Timeout,0.600 sec,0.630 sec,0.580 sec
60,60,25 %,100 %,20 %,20 %,Timeout,Timeout,0.530 sec,0.540 sec,0.540 sec
60,60,50 %,50 %,0 %,0 %,991.870 sec,Timeout,0.490 sec,0.530 sec,0.430 sec
60,60,50 %,50 %,0 %,10 %,Timeout,Timeout,0.460 sec,0.450 sec,0.390 sec
60,60,50 %,50 %,0 %,20 %,747.310 sec,Timeout,0.480 sec,0.570 sec,0.480 sec
60,60,50 %,50 %,10 %,10 %,Timeout,Timeout,0.490 sec,0.500 sec,0.490 sec
60,60,50 %,50 %,10 %,20 %,Timeout,Timeout,0.500 sec,0.520 sec,0.410 sec
60,60,50 %,50 %,20 %,20 %,Timeout,Timeout,0.440 sec,0.440 sec,0.450 sec
60,60,50 %,100 %,0 %,0 %,Timeout,Timeout,2.060 sec,2.130 sec,2.070 sec
60,60,50 %,100 %,0 %,10 %,Timeout,Timeout,2.100 sec,2.140 sec,1.970 sec
60,60,50 %,100 %,0 %,20 %,Timeout,Timeout,2.200 sec,2.200 sec,2.090 sec
60,60,50 %,100 %,10 %,10 %,Timeout,Timeout,2.240 sec,2.230 sec,2.100 sec
60,60,50 %,100 %,10 %,20 %,Timeout,Timeout,2.160 sec,2.200 sec,2.100 sec
60,60,50 %,100 %,20 %,20 %,Timeout,Timeout,2.060 sec,2.000 sec,1.980 sec
60,60,100 %,100 %,0 %,0 %,Timeout,Timeout,15.780 sec,14.940 sec,15.020 sec
60,60,100 %,100 %,0 %,10 %,Timeout,Timeout,13.990 sec,14.880 sec,13.280 sec
60,60,100 %,100 %,0 %,20 %,Timeout,Timeout,14.380 sec,15.230 sec,12.360 sec
60,60,100 %,100 %,10 %,10 %,Timeout,Timeout,14.430 sec,14.320 sec,13.270 sec
60,60,100 %,100 %,10 %,20 %,Timeout,Timeout,12.580 sec,13.800 sec,12.870 sec
60,60,100 %,100 %,20 %,20 %,Timeout,Timeout,12.620 sec,13.050 sec,13.330 sec
